"Format","MoTeC CSV File",,,"Workbook","Samples"
"Venue","barber full",,,"Worksheet","grip factors export"
"Vehicle","lamborghinievogt3",,,"Vehicle Desc","lamborghinievogt3"
"Driver","Joao G Alves",,,"Engine ID",""
"Device","ADL"
"Comment","baseline.sto",,,"Session","Test"
"Log Date","05/04/2022",,,"Origin Time","0.000","s"
"Log Time","23:09:48",,,"Start Time","0.000","s"
"Sample Rate","100.000","Hz",,"End Time","260.317","s"
"Duration","260.317","s",,"Start Distance","0","m"
"Range","entire outing",,,"End Distance","10358","m"
"Beacon Markers","98.317 183.236 "


"Time","Distance","Ground Speed","G Force Lat","G Force Long","Lap Distance","Tyre Pres FL","Tyre Pres FR","Tyre Pres RL","Tyre Pres RR","Throttle Pos","Brake","Steering Wheel Angle"
"s","m","km/h","G","G","m","kPa","kPa","kPa","kPa","%","%","rad"


"1.530","0","0.0030578","0.01778208","-0.00295274","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.540","0","0.0029767","0.01869284","-0.00299238","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.550","0","0.0029851","0.02030947","-0.00303481","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.560","0","0.0030596","0.02025497","-0.00300337","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.570","0","0.0030838","0.01982434","-0.00299989","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.580","0","0.0030074","0.01864145","-0.00305231","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.590","0","0.0029711","0.01945329","-0.00323489","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.600","0","0.0029549","0.02126249","-0.00348254","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.610","0","0.0031873","0.02102557","-0.00318392","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.620","0","0.0033029","0.02026174","-0.00299806","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.630","0","0.0031847","0.01844408","-0.00303770","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.640","0","0.0030825","0.01914515","-0.00322241","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.650","0","0.0029884","0.02110557","-0.00347965","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"1.660","0","0.0031724","0.02013277","-0.00317318","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
